episode,reward,avg_wait_time,avg_ambulance_wait,avg_firetruck_wait,throughput_per_min,total_spawned,total_cleared,ambulance_cleared,firetruck_cleared,epsilon,mean_td_error
309,-510.45,1.27,1.31,1.21,88.8,50,37,3,2,0.5387,2.0448
310,-40.15,1.41,0.0,0.0,108.0,54,45,0,0,0.5376,1.1248
311,58.45,1.12,0.0,0.0,115.2,60,48,0,0,0.5365,0.8527
312,-1574.55,1.89,1.18,0.0,96.0,58,40,2,0,0.5355,1.9631
313,-18.65,1.62,0.0,0.0,105.6,58,44,0,0,0.5344,0.8042
314,-269.3,1.16,3.05,0.0,98.4,52,41,1,0,0.5333,1.0296
315,-320.75,1.81,5.43,0.38,103.2,55,43,1,2,0.5323,1.6163
316,54.0,1.58,0.6,0.0,120.0,67,50,1,0,0.5312,1.1633
317,1.0,1.62,0.02,0.0,96.0,52,40,1,0,0.5301,0.9624
318,-378.0,1.74,1.21,1.16,91.2,49,38,2,2,0.5291,1.8175
319,9.9,1.61,0.0,0.0,112.8,60,47,0,0,0.528,0.938
320,45.9,1.71,0.78,0.72,110.4,62,46,3,1,0.527,1.3724
321,213.2,1.42,0.02,0.02,105.6,55,44,1,1,0.5259,1.1737
322,350.4,1.65,0.02,0.23,103.2,51,43,1,2,0.5248,1.5468
323,144.2,1.36,0.02,0.0,117.6,59,49,1,0,0.5238,1.0475
324,918.8,1.61,0.28,0.05,120.0,67,50,1,5,0.5228,2.1689
325,32.4,1.53,0.02,0.0,100.8,55,42,1,0,0.5217,0.8815
326,109.45,2.09,0.02,0.02,98.4,52,41,1,1,0.5207,1.4242
327,-165.6,1.77,0.57,0.43,103.2,59,43,2,2,0.5196,1.7975
328,-77.35,1.94,0.4,0.87,120.0,65,50,1,1,0.5186,1.6415
329,-91.05,1.61,0.0,0.0,100.8,56,42,0,0,0.5175,0.8508
330,293.05,1.59,0.02,0.02,96.0,54,40,1,2,0.5165,1.5934
331,56.95,1.84,0.0,0.02,110.4,60,46,0,1,0.5155,1.4236
332,153.25,2.06,0.0,0.02,122.4,66,51,0,1,0.5144,1.1288
333,-419.4,1.62,2.88,0.02,86.4,49,36,2,1,0.5134,1.5553
334,-75.05,1.1,1.56,0.0,112.8,61,47,2,0,0.5124,1.196
